estimate,target,mean,sd,bias,mae,mean.se,cov
Continuous: Slope,0.001,0.001,0.001,0,0,0.001,0.948
Binary: Level 1,0.1,0.1,0.016,-0,0.012,0.015,0.945
Binary: Level 2,-0.1,-0.1,0.016,0,0.012,0.015,0.945
Cat1: Level 1 (conditional),-0.09,-0.091,0.031,-0.001,0.025,0.032,0.951
Cat1: Level 1 (comparable pairs),-0.09,-0.09,0.022,-0,0.018,0.022,0.947
Cat1: Level 2 (conditional),-0.027,-0.027,0.031,-0,0.025,0.032,0.952
Cat1: Level 2 (comparable pairs),-0.027,-0.027,0.022,-0,0.018,0.022,0.945
Cat1: Level 3 (conditional),0.053,0.053,0.032,-0.001,0.025,0.032,0.946
Cat1: Level 3 (comparable pairs),0.053,0.053,0.023,-0.001,0.018,0.022,0.94
Cat1: Level 4,0.063,0.065,0.032,0.001,0.025,0.032,0.95
Cat2: Level 1 (conditional),-0.027,-0.027,0.021,-0,0.017,0.021,0.949
Cat2: Level 1 (comparable pairs),-0.027,-0.027,0.019,-0,0.015,0.019,0.953
Cat2: Level 2 (conditional),-0.047,-0.047,0.021,-0,0.017,0.021,0.953
Cat2: Level 2 (comparable pairs),-0.047,-0.047,0.02,-0,0.016,0.02,0.952
Cat2: Level 3,0.007,0.007,0.021,0,0.017,0.021,0.948
Cat2: Level 4,0.067,0.067,0.021,0,0.017,0.021,0.954
Cat2_int: Level 1 (conditional),-0.027,-0.026,0.021,0,0.017,0.021,0.946
Cat2_int: Level 1 (comparable pairs),-0.046,-0.046,0.02,0,0.016,0.019,0.945
Cat2_int: Level 2 (conditional),-0.047,-0.046,0.021,0,0.017,0.021,0.948
Cat2_int: Level 2 (comparable pairs),-0.027,-0.027,0.02,0,0.016,0.02,0.946
Cat2_int: Level 3,0.007,0.006,0.021,-0,0.017,0.021,0.945
Cat2_int: Level 4,0.067,0.066,0.021,-0,0.017,0.021,0.946
